,cid,uniprot_id,tag,type,label,pdb_id
29555,58577988,P36897,train,-,1,3kcfE
8922,16678242,P35968,train,-,1,3v2aR
6848,118274383,O60563,train,-,1,3tniB
14409,11563410,P22303,train,-,1,4bdtA
5320,24754379,Q16539,train,-,1,3mptA
9323,86766794,P35968,train,-,1,3v2aR
42594,89476943,P13866,train,-,1,3dh4D
50816,117793218,Q9HBH9,train,-,1,2ac3A
53546,3240649,P03372,dev,-,0,2ocfA
27517,1076653,Q9Y5S8,train,-,0,5o0tA
55282,70982965,P43405,dev,-,1,4fl2A
19093,2296002,Q14289,test,seen,0,4ekuA
43253,58190485,P08581,train,-,1,2uzyD
15563,3242935,P41145,dev,-,0,6b73B
24987,61834439,P27338,train,-,1,2c75B
17543,3242053,Q92731,test,seen,0,1qkmA
22357,3239062,P53779,train,-,0,3ttjA
37376,44143376,P00797,train,-,1,4amtA
29700,68181883,O00408,train,-,1,3ibjB
6017,11705942,P29466,train,-,0,3e4cB
40331,23648192,P56524,train,-,0,2vqmA
5514,3153302,P62136,dev,-,0,4g9jB
52012,118159253,P46095,train,-,1,3v2yA
43461,44382729,P26010,train,-,1,3v4vD
13946,3654817,Q9HC16,train,-,0,2mzzA
39616,46830336,P28335,test,seen,0,6bqhA
16070,4875293,O15305,train,-,0,2q4rA
15805,512832,P31941,train,-,0,2m65A
44647,12980713,P31645,train,-,1,5i6zA
56086,60142748,P43405,test,unseen,1,4fl2A
55183,119098894,P43405,dev,-,1,4fl2A
7269,1093796,Q9Y4P1,dev,-,0,2d1iB
35191,58548022,Q9Y233,train,-,0,4dffB
41020,50940253,P21802,dev,-,1,2psqB
9123,68170085,P35968,train,-,1,3v2aR
56973,11584228,Q14164,dev,-,1,4iwqA
9254,5329051,P35968,train,-,1,3v2aR
19368,46948433,O14786,train,-,0,4gzaH
18717,807549,P22736,train,-,0,2qw4D
28842,68004759,P11362,train,-,1,1evtD
16526,76098,O14757,train,-,0,3tkiA
34911,44143448,Q12809,train,-,0,5va2A
25657,71586277,O15151,train,-,0,4rxzB
4741,25067502,P05186,train,-,0,4kjgB
6303,1484372,Q9GZR1,train,-,0,3eayA
51682,112500250,P10415,train,-,1,2xa0B
24101,46178939,P11309,train,-,1,4rpvA
17249,12517702,P00374,train,-,0,1hfqA
23340,11339029,Q07869,train,-,1,3e00D
44384,91970643,Q96T88,train,-,0,2pb7A
40146,86703054,P31751,test,seen,1,5kcvA
26313,872991,Q9Y239,train,-,0,4e9mF
43116,11715767,P08581,train,-,0,2uzyD
33994,92044750,P28482,train,-,1,4qpaB
52784,66768339,Q13418,train,-,1,3repA
52876,68754133,Q495T6,train,-,1,5v48B
8528,9973586,O76074,train,-,1,3bjcA
1834,44344124,P24941,train,-,0,5lmkA
48819,11620410,P07333,train,-,1,4liqE
42918,9917706,P25101,train,-,1,5xprA
35459,58547102,Q9Y233,train,-,1,4dffB
23087,89719965,Q00987,train,-,1,4xxbB
20933,11844487,P06239,test,seen,1,2hckB
32112,5308835,P25774,train,-,0,2c0yA
4173,118599392,P56817,train,-,1,6ej3A
26688,91618201,P04629,train,-,1,2ifgB
17018,91896717,Q9Y5X4,dev,-,0,4logB
30889,56645857,P31749,test,seen,1,4ejnA
35407,71537867,Q9Y233,train,-,1,4dffB
41611,71008623,Q06187,train,-,1,4xi2A
41164,118797832,Q99572,train,-,1,5u2hB
8967,51001119,P35968,train,-,1,3v2aR
19596,90654464,P36888,train,-,1,3qs9H
8882,86689220,P35968,train,-,1,3v2aR
40986,68005600,P21802,train,-,1,2psqB
19531,66548888,P36888,train,-,1,3qs9H
42004,11134644,P08709,train,-,1,5u6jH
45177,11463839,P04150,train,-,1,4udcA
